"Postal Areas (UR) by Occupation (OCCP)"
"Counting: Persons, Place of Usual Residence"

,"Occupation (OCCP)","Community and Personal Service Workers nfd","Health and Welfare Support Workers nfd","Ambulance Officers and Paramedics","Dental Hygienists, Technicians and Therapists","Diversional Therapists","Enrolled and Mothercraft Nurses","Indigenous Health Workers","Massage Therapists","Welfare Support Workers","Carers and Aides nfd","Child Carers","Education Aides","Personal Carers and Assistants nfd","Aged and Disabled Carers","Dental Assistants","Nursing Support and Personal Care Workers","Special Care Workers","Hospitality Workers nfd","Bar Attendants and Baristas","Cafe Workers","Gaming Workers","Hotel Service Managers","Waiters","Other Hospitality Workers","Protective Service Workers nfd","Defence Force Members, Fire Fighters and Police nfd","Defence Force Members - Other Ranks","Fire and Emergency Workers","Police","Prison and Security Officers nfd","Prison Officers","Security Officers and Guards","Sports and Personal Service Workers nfd","Personal Service and Travel Workers nfd","Beauty Therapists","Driving Instructors","Funeral Workers","Gallery, Museum and Tour Guides","Personal Care Consultants","Tourism and Travel Advisers","Travel Attendants","Other Personal Service Workers","Sports and Fitness Workers nfd","Fitness Instructors","Outdoor Adventure Guides","Sports Coaches, Instructors and Officials","Sportspersons","Total",
,"Postal Areas (UR)",
,"2000, NSW",0,0,0,10,0,0,0,49,7,3,29,6,0,10,14,17,0,26,205,58,17,36,631,19,0,0,11,0,9,0,0,17,0,0,20,0,0,8,27,43,24,8,0,15,0,11,0,1330,
,"2006, NSW",0,0,0,0,0,0,0,0,0,0,16,4,0,3,3,3,0,5,32,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,17,4,147,
,"2007, NSW",0,0,0,0,0,0,0,7,12,0,21,0,0,5,4,19,10,3,58,13,9,9,132,3,0,0,7,0,5,0,0,4,0,0,7,0,0,6,5,9,4,5,0,3,0,13,0,373,
,"2008, NSW",0,0,0,0,0,3,0,3,18,0,24,6,0,14,5,6,0,3,63,7,4,3,89,4,0,0,4,0,10,0,0,11,0,0,4,0,0,4,4,17,9,5,0,20,0,6,4,350,
,"2009, NSW",0,0,0,5,0,4,0,9,14,3,33,3,0,4,3,11,0,8,68,14,46,12,147,10,0,0,21,0,13,0,5,31,0,0,11,0,0,6,3,35,13,0,0,22,0,12,0,566,
,"2010, NSW",5,0,10,8,0,3,0,42,40,3,53,8,0,34,9,42,8,29,267,27,11,33,336,12,0,0,21,0,23,0,0,40,0,0,9,0,0,15,13,92,83,17,0,82,0,20,9,1404,
,"2011, NSW",0,0,3,4,0,0,0,19,33,3,27,13,0,36,10,33,6,16,133,17,7,17,193,4,0,0,149,5,10,0,0,33,0,0,23,0,0,17,10,60,56,5,0,71,0,12,0,1025,
,"2015, NSW",0,0,7,0,0,0,0,7,27,0,41,5,0,16,3,6,0,5,51,8,0,9,50,6,0,0,17,6,37,0,5,14,0,0,4,4,0,11,0,34,50,4,0,15,0,16,10,468,
,"2016, NSW",0,0,8,6,0,3,0,12,31,0,31,8,0,27,8,16,0,11,114,24,0,12,100,4,0,0,4,3,12,0,3,18,0,0,15,0,0,16,4,31,43,7,0,15,0,12,0,598,
,"2017, NSW",0,0,6,0,0,6,5,7,20,3,45,5,0,28,17,16,0,7,91,24,3,10,108,3,0,0,76,5,14,0,0,20,0,0,13,4,0,3,6,38,50,8,0,43,0,12,10,706,
,"2018, NSW",0,0,3,4,5,6,4,3,10,4,92,9,0,48,15,56,0,7,53,21,6,11,60,7,0,0,15,8,16,0,5,56,0,0,20,4,4,3,3,22,29,7,0,20,0,5,13,654,
,"2019, NSW",0,0,3,7,4,5,0,4,18,3,59,22,0,18,6,25,0,3,35,6,0,5,22,7,0,0,20,14,32,0,5,25,0,0,9,0,0,0,0,24,18,4,0,17,0,15,12,447,
,"2020, NSW",0,0,0,5,4,9,0,3,12,0,72,19,0,26,14,30,0,4,56,12,4,3,46,4,0,0,29,14,16,0,7,39,0,0,0,6,0,4,0,18,37,4,0,15,0,6,12,530,
,"2021, NSW",0,0,4,4,0,0,0,6,11,3,55,11,0,14,8,9,0,4,113,5,3,7,92,3,0,0,4,3,10,0,0,14,0,0,11,0,0,10,6,27,35,10,0,36,0,23,4,545,
,"2022, NSW",0,0,0,5,6,3,0,11,14,5,79,11,0,24,8,17,0,0,64,3,6,3,77,7,0,0,10,0,10,0,3,11,0,0,16,0,8,9,8,25,20,5,0,37,0,15,5,525,
