"Postal Areas (UR) by Highest Year of School Completed (HSCP)"
"Counting: Persons, Place of Usual Residence"

,"Highest Year of School Completed (HSCP)","Year 12 or equivalent","Year 11 or equivalent","Year 10 or equivalent","Year 9 or equivalent","Year 8 or below","Did not go to school","Not stated","Not applicable","Total",
,"Postal Areas (UR)",
,"2000, NSW",14925,575,958,253,268,223,4526,1029,22757,
,"2006, NSW",940,3,16,3,6,6,161,20,1155,
,"2007, NSW",4604,163,266,87,117,56,1402,416,7111,
,"2008, NSW",4525,160,335,76,82,23,776,320,6297,
,"2009, NSW",7766,373,774,165,142,68,1313,1018,11619,
,"2010, NSW",17062,788,1714,343,414,148,3750,1186,25405,
,"2011, NSW",11640,674,1368,302,191,62,3000,802,18039,
,"2015, NSW",5539,313,706,147,111,58,646,908,8428,
,"2016, NSW",7163,421,1027,314,426,155,1698,830,12034,
,"2017, NSW",8427,506,1276,340,437,112,2259,1113,14470,
,"2018, NSW",7198,547,1711,477,973,265,1578,2649,15398,
,"2019, NSW",3568,358,1499,393,358,55,743,1925,8899,
,"2020, NSW",4984,376,1363,387,561,142,763,1603,10179,
,"2021, NSW",9332,438,844,177,162,21,1545,1721,14240,
,"2022, NSW",6854,319,822,229,228,39,1396,1706,11593,
,"2023, NSW",6368,391,606,186,86,6,1211,1910,10764,
,"2024, NSW",6020,366,954,285,261,41,1195,1957,11079,
,"2025, NSW",4645,206,494,108,64,9,619,1038,7183,
,"2026, NSW",18179,910,2233,473,444,75,3914,4168,30396,
,"2027, NSW",4737,226,458,121,50,15,938,762,7307,
,"2028, NSW",2924,183,318,86,40,11,525,599,4686,
,"2029, NSW",5608,329,693,196,127,9,782,1657,9401,
,"2030, NSW",8090,526,987,297,169,22,930,2894,13915,
,"2031, NSW",19536,1040,2855,692,618,110,2397,5074,32322,
,"2032, NSW",8981,494,1316,450,685,155,1243,1942,15266,
,"2033, NSW",6882,383,854,191,299,69,949,1337,10964,
,"2034, NSW",11173,696,1785,462,393,52,1710,2820,19091,
,"2035, NSW",16892,1152,3970,1168,1385,275,2929,5464,33235,
,"2036, NSW",10784,1089,4380,1263,1139,239,3304,4699,26897,
,"2037, NSW",8711,450,1137,359,328,100,1323,1434,13842,
,"2038, NSW",5342,275,709,165,166,29,576,1407,8669,
,"2039, NSW",4842,271,700,180,121,16,476,1315,7921,
,"2040, NSW",11372,737,2092,558,813,143,1433,3714,20862,
,"2041, NSW",9146,523,1209,310,229,29,956,2352,14754,
,"2042, NSW",11606,531,1323,268,390,104,1721,1778,17721,
,"2043, NSW",4811,233,529,125,106,24,270,752,6850,
,"2044, NSW",3654,295,909,186,343,108,642,1056,7193,
,"2045, NSW",2881,201,870,215,592,118,556,1217,6650,
,"2046, NSW",12366,873,3609,921,1420,289,1405,4298,25181,
,"2047, NSW",6131,399,1326,366,317,43,999,1798,11379,
,"2048, NSW",4601,270,661,167,303,61,550,1089,7702,
,"2049, NSW",5929,336,1002,253,399,121,842,1572,10454,
,"2050, NSW",4764,180,387,77,94,15,620,567,6704,
,"2052, NSW",1690,25,5,3,0,0,76,12,1811,
,"2060, NSW",8387,439,869,184,97,19,1092,1182,12269,
,"2061, NSW",3877,176,356,85,53,15,732,387,5681,
,"2062, NSW",4340,243,514,121,70,16,439,1038,6781,
,"2063, NSW",3462,219,436,118,82,6,197,1412,5932,
,"2064, NSW",5564,232,579,155,132,32,380,1566,8640,
,"2065, NSW",18371,798,1867,436,287,80,1684,3651,27174,
,"2066, NSW",16409,1007,2450,672,439,68,1170,5409,27624,
,"2067, NSW",14026,719,1563,510,428,193,1564,3620,22623,
,"2068, NSW",8635,591,1488,389,390,70,688,3620,15871,
,"2069, NSW",7758,489,1066,257,185,32,535,2961,13283,
,"2070, NSW",7127,452,910,281,166,25,540,2778,12279,
,"2071, NSW",7324,458,963,315,164,44,562,2329,12159,
,"2072, NSW",4079,243,505,172,73,30,266,1224,6592,
,"2073, NSW",9169,648,1307,412,204,25,464,3506,15735,
,"2074, NSW",11839,933,2122,603,231,33,977,4204,20942,
,"2075, NSW",10906,812,1805,555,224,30,682,3629,18643,
,"2076, NSW",13233,989,2467,746,395,59,1013,4873,23775,
,"2077, NSW",18866,1413,4371,1133,736,198,1636,6546,34899,
,"2079, NSW",3415,324,1205,299,138,11,201,1513,7106,
,"2080, NSW",728,75,298,69,26,3,48,327,1574,
,"2081, NSW",2301,229,926,214,81,4,158,1254,5167,
,"2082, NSW",2425,271,1100,285,93,8,176,1295,5653,
,"2083, NSW",654,79,342,89,39,3,57,283,1546,
,"2084, NSW",1567,176,618,170,62,25,183,735,3536,
,"2085, NSW",5003,517,1791,451,204,25,514,2201,10706,
,"2086, NSW",6216,630,2057,495,230,29,408,3127,13192,
,"2087, NSW",5992,529,1652,487,252,35,472,2872,12291,
,"2088, NSW",16631,972,2139,544,224,27,1897,5019,27453,
,"2089, NSW",7579,367,758,143,76,17,1025,1117,11082,
,"2090, NSW",8413,461,939,174,87,15,1128,1805,13022,
,"2092, NSW",3426,269,754,209,93,12,236,1730,6729,
,"2093, NSW",11378,882,2558,615,321,33,898,4927,21612,
,"2094, NSW",3281,199,580,123,66,8,285,948,5490,
,"2095, NSW",9140,561,1317,334,185,19,1563,1956,15075,
,"2096, NSW",7658,567,1744,382,202,25,755,2543,13876,
,"2097, NSW",6575,701,2475,592,273,40,697,3034,14387,
,"2099, NSW",17194,1675,6183,1518,1086,234,2053,6743,36686,
,"2100, NSW",8581,915,3187,806,572,162,1115,4107,19445,
,"2101, NSW",7784,867,3321,832,390,31,1511,3245,17981,
,"2102, NSW",2686,274,1008,265,117,13,322,1458,6143,
,"2103, NSW",4651,534,1847,445,270,36,584,1797,10164,
,"2104, NSW",1501,163,563,160,63,3,214,426,3093,
,"2105, NSW",999,79,257,57,10,0,89,343,1834,
,"2106, NSW",4493,469,1436,268,105,9,529,1728,9037,
,"2107, NSW",7168,741,2243,518,166,11,569,3048,14464,
,"2108, NSW",1068,88,252,57,19,0,144,271,1899,
,"2109, NSW",1055,40,73,49,21,0,485,64,1787,
,"2110, NSW",5065,462,1099,480,201,28,549,1923,9807,
,"2111, NSW",7015,496,1776,494,511,80,588,2465,13425,
,"2112, NSW",13691,981,4003,1047,1132,226,1564,5128,27772,
,"2113, NSW",8958,594,2207,578,573,164,896,2829,16799,
,"2114, NSW",12363,721,2299,597,543,187,1195,3572,21477,
,"2115, NSW",3926,399,1539,518,459,128,694,1807,9470,
,"2116, NSW",2706,257,890,294,212,209,330,1319,6217,
,"2117, NSW",9105,774,2828,773,646,183,1153,3556,19018,
,"2118, NSW",11508,891,2769,760,553,153,977,3958,21569,
,"2119, NSW",6390,489,1151,351,131,26,339,2026,10903,
,"2120, NSW",10575,781,2556,648,312,138,636,3979,19625,
,"2121, NSW",14822,850,2581,821,391,98,821,4235,24619,
,"2122, NSW",17080,870,2764,926,808,272,1668,4156,28544,
,"2125, NSW",9168,681,2013,515,250,58,369,2913,15967,
,"2126, NSW",10546,865,2219,588,304,65,641,3550,18778,
,"2127, NSW",4941,241,591,117,96,25,602,1531,8144,
,"2128, NSW",873,58,195,56,62,35,1472,411,3162,
,"2129, NSW",0,0,0,3,0,0,0,0,3,
,"2130, NSW",3892,225,611,161,199,39,503,956,6586,
,"2131, NSW",12577,691,1972,677,909,284,2029,3050,22189,
,"2132, NSW",5273,367,1082,322,575,189,774,1799,10381,
,"2133, NSW",4888,414,1566,371,644,169,668,2023,10743,
,"2134, NSW",7532,385,870,332,562,240,1060,1488,12469,
,"2135, NSW",13913,653,1751,529,705,257,2104,3184,23096,
,"2136, NSW",3292,229,881,244,339,70,474,1188,6717,
,"2137, NSW",11856,911,3314,761,1018,237,1560,4362,24019,
,"2138, NSW",7929,359,1258,327,350,103,1051,2141,13518,
,"2139, NSW",19,3,10,4,7,0,13,0,56,
,"2140, NSW",7360,364,912,244,296,154,1174,2008,12512,
,"2141, NSW",12321,898,2682,926,1498,807,1756,4590,25478,
,"2142, NSW",9422,769,2705,807,1137,612,2436,4636,22524,
,"2143, NSW",2856,330,1012,342,499,211,611,1598,7459,
,"2144, NSW",13666,1185,3249,1166,2352,1387,2987,7130,33122,
,"2145, NSW",31318,2537,11122,3230,3302,929,4355,14520,71313,
,"2146, NSW",6551,642,3002,733,609,124,835,3189,15685,
,"2147, NSW",13194,1566,7270,2003,1581,239,2007,7213,35073,
,"2148, NSW",22663,2507,10627,3141,3015,653,3649,12415,58670,
,"2150, NSW",14770,644,1793,482,635,319,2521,3648,24812,
,"2151, NSW",9838,854,2721,842,592,176,1619,3580,20222,
,"2152, NSW",4705,429,1746,490,338,53,594,1867,10222,
,"2153, NSW",24975,2172,8991,2024,1153,197,1908,11031,52451,
,"2154, NSW",19295,1696,5602,1446,707,110,1719,7338,37913,
,"2155, NSW",19635,1790,6679,1420,732,168,1424,12180,44028,
,"2156, NSW",5567,613,2472,563,289,32,426,2384,12346,
,"2157, NSW",1384,189,792,209,145,23,166,801,3709,
,"2158, NSW",3719,408,1508,391,267,55,392,1548,8288,
,"2159, NSW",1916,274,940,208,143,17,181,870,4549,
,"2160, NSW",12612,1297,4920,1308,2069,776,2849,7013,32844,
,"2161, NSW",9431,1239,4557,1442,1947,860,2189,6603,28268,
,"2162, NSW",5789,775,2958,1003,1241,486,1077,3659,16988,
