,index,Electorate,postcode,record
0,0800_0,Solomon,0800,0
1,0801_0,Lingiari,0801,0
2,0801_1,Lingiari,0801,1
3,0810_0,Solomon,0810,0
4,0810_1,Solomon,0810,1
5,0810_10,Solomon,0810,10
6,0810_11,Solomon,0810,11
7,0810_12,Solomon,0810,12
8,0810_13,Solomon,0810,13
9,0810_14,Solomon,0810,14
10,0810_15,Solomon,0810,15
11,0810_16,Solomon,0810,16
12,0810_17,Solomon,0810,17
13,0810_2,Solomon,0810,2
14,0810_3,Solomon,0810,3
15,0810_4,Solomon,0810,4
16,0810_5,Solomon,0810,5
17,0810_6,Solomon,0810,6
18,0810_7,Solomon,0810,7
19,0810_8,Solomon,0810,8
20,0810_9,Solomon,0810,9
21,0812_0,Solomon,0812,0
22,0812_1,Solomon,0812,1
23,0812_2,Solomon,0812,2
24,0812_3,Solomon,0812,3
25,0812_4,Solomon,0812,4
26,0812_5,Solomon,0812,5
27,0812_6,Solomon,0812,6
28,0812_7,Solomon,0812,7
29,0812_8,Solomon,0812,8
30,0812_9,Solomon,0812,9
31,0820_0,Solomon,0820,0
32,0820_1,Solomon,0820,1
33,0820_10,Solomon,0820,10
34,0820_11,Solomon,0820,11
35,0820_12,Solomon,0820,12
36,0820_13,Solomon,0820,13
37,0820_14,Solomon,0820,14
38,0820_15,Solomon,0820,15
39,0820_16,Solomon,0820,16
40,0820_17,Solomon,0820,17
41,0820_18,Solomon,0820,18
42,0820_19,Solomon,0820,19
43,0820_2,Solomon,0820,2
44,0820_3,Lingiari,0820,3
45,0820_4,Solomon,0820,4
46,0820_5,Solomon,0820,5
47,0820_6,Solomon,0820,6
48,0820_7,Solomon,0820,7
49,0820_8,Solomon,0820,8
50,0820_9,Solomon,0820,9
51,0821_0,Lingiari,0821,0
52,0821_1,Lingiari,0821,1
53,0822_0,Lingiari,0822,0
54,0822_1,Lingiari,0822,1
55,0822_10,Lingiari,0822,10
56,0822_11,Lingiari,0822,11
57,0822_12,Lingiari,0822,12
58,0822_13,Lingiari,0822,13
59,0822_14,Lingiari,0822,14
60,0822_15,Lingiari,0822,15
61,0822_16,Lingiari,0822,16
62,0822_17,Lingiari,0822,17
63,0822_18,Lingiari,0822,18
64,0822_19,Lingiari,0822,19
65,0822_2,Lingiari,0822,2
66,0822_3,Lingiari,0822,3
67,0822_4,Lingiari,0822,4
68,0822_5,Lingiari,0822,5
69,0822_6,Lingiari,0822,6
70,0822_7,Lingiari,0822,7
71,0822_8,Lingiari,0822,8
72,0822_9,Lingiari,0822,9
73,0828_0,Solomon,0828,0
74,0828_1,Solomon,0828,1
75,0828_2,Solomon,0828,2
76,0828_3,Solomon,0828,3
77,0828_4,Solomon,0828,4
78,0829_0,Lingiari,0829,0
79,0829_1,Solomon,0829,1
80,0829_2,Solomon,0829,2
81,0830_0,Solomon,0830,0
82,0830_1,Solomon,0830,1
83,0830_10,Solomon,0830,10
84,0830_11,Solomon,0830,11
85,0830_12,Solomon,0830,12
86,0830_13,Solomon,0830,13
87,0830_14,Solomon,0830,14
88,0830_15,Solomon,0830,15
89,0830_16,Solomon,0830,16
90,0830_2,Solomon,0830,2
91,0830_3,Solomon,0830,3
92,0830_4,Solomon,0830,4
93,0830_5,Solomon,0830,5
94,0830_6,Solomon,0830,6
95,0830_7,Solomon,0830,7
96,0830_8,Solomon,0830,8
97,0830_9,Solomon,0830,9
98,0832_0,Solomon,0832,0
99,0832_1,Solomon,0832,1
100,0832_2,Solomon,0832,2
101,0832_3,Solomon,0832,3
102,0832_4,Solomon,0832,4
103,0832_5,Solomon,0832,5
104,0832_6,Lingiari,0832,6
105,0832_7,Solomon,0832,7
106,0835_0,Lingiari,0835,0
107,0836_0,Lingiari,0836,0
108,0836_1,Lingiari,0836,1
109,0836_2,Lingiari,0836,2
110,0837_0,Lingiari,0837,0
111,0837_1,Lingiari,0837,1
112,0837_2,Lingiari,0837,2
113,0838_0,Lingiari,0838,0
114,0838_1,Lingiari,0838,1
115,0840_0,Lingiari,0840,0
116,0840_1,Lingiari,0840,1
117,0840_2,Lingiari,0840,2
118,0840_3,Lingiari,0840,3
119,0840_4,Lingiari,0840,4
120,0845_0,Lingiari,0845,0
121,0845_1,Lingiari,0845,1
122,0845_10,Lingiari,0845,10
123,0845_2,Lingiari,0845,2
124,0845_3,Lingiari,0845,3
125,0845_4,Lingiari,0845,4
126,0845_5,Lingiari,0845,5
127,0845_6,Lingiari,0845,6
128,0845_7,Lingiari,0845,7
129,0845_8,Lingiari,0845,8
130,0845_9,Lingiari,0845,9
131,0846_0,Lingiari,0846,0
132,0846_1,Lingiari,0846,1
133,0846_2,Lingiari,0846,2
134,0846_3,Lingiari,0846,3
135,0846_4,Lingiari,0846,4
136,0846_5,Lingiari,0846,5
137,0846_6,Lingiari,0846,6
138,0846_7,Lingiari,0846,7
139,0846_8,Lingiari,0846,8
140,0846_9,Lingiari,0846,9
141,0847_0,Lingiari,0847,0
142,0847_1,Lingiari,0847,1
143,0847_10,Lingiari,0847,10
144,0847_11,Lingiari,0847,11
145,0847_12,Lingiari,0847,12
146,0847_13,Lingiari,0847,13
147,0847_14,Lingiari,0847,14
148,0847_15,Lingiari,0847,15
149,0847_16,Lingiari,0847,16
150,0847_2,Lingiari,0847,2
151,0847_3,Lingiari,0847,3
152,0847_4,Lingiari,0847,4
153,0847_5,Lingiari,0847,5
154,0847_6,Lingiari,0847,6
155,0847_7,Lingiari,0847,7
156,0847_8,Lingiari,0847,8
157,0847_9,Lingiari,0847,9
158,0850_0,Lingiari,0850,0
159,0850_1,Lingiari,0850,1
160,0850_10,Lingiari,0850,10
161,0850_11,Lingiari,0850,11
162,0850_12,Lingiari,0850,12
163,0850_13,Lingiari,0850,13
164,0850_14,Lingiari,0850,14
165,0850_15,Lingiari,0850,15
166,0850_16,Lingiari,0850,16
167,0850_17,Lingiari,0850,17
168,0850_18,Lingiari,0850,18
169,0850_19,Lingiari,0850,19
170,0850_2,Lingiari,0850,2
171,0850_3,Lingiari,0850,3
172,0850_4,Lingiari,0850,4
173,0850_5,Lingiari,0850,5
174,0850_6,Lingiari,0850,6
175,0850_7,Lingiari,0850,7
176,0850_8,Lingiari,0850,8
177,0850_9,Lingiari,0850,9
178,0851_0,Lingiari,0851,0
179,0851_1,Lingiari,0851,1
180,0852_0,Lingiari,0852,0
181,0852_1,Lingiari,0852,1
182,0852_10,Lingiari,0852,10
183,0852_11,Lingiari,0852,11
184,0852_12,Lingiari,0852,12
185,0852_13,Lingiari,0852,13
186,0852_14,Lingiari,0852,14
187,0852_15,Lingiari,0852,15
188,0852_16,Lingiari,0852,16
189,0852_17,Lingiari,0852,17
190,0852_18,Lingiari,0852,18
191,0852_19,Lingiari,0852,19
192,0852_2,Lingiari,0852,2
193,0852_3,Lingiari,0852,3
194,0852_4,Lingiari,0852,4
195,0852_5,Lingiari,0852,5
196,0852_6,Lingiari,0852,6
197,0852_7,Lingiari,0852,7
198,0852_8,Lingiari,0852,8
199,0852_9,Lingiari,0852,9
200,0854_0,Lingiari,0854,0
201,0854_1,Lingiari,0854,1
202,0854_10,Lingiari,0854,10
203,0854_11,Lingiari,0854,11
204,0854_12,Lingiari,0854,12
205,0854_13,Lingiari,0854,13
206,0854_14,Lingiari,0854,14
207,0854_15,Lingiari,0854,15
208,0854_16,Lingiari,0854,16
209,0854_17,Lingiari,0854,17
210,0854_18,Lingiari,0854,18
211,0854_19,Lingiari,0854,19
212,0854_2,Lingiari,0854,2
213,0854_3,Lingiari,0854,3
214,0854_4,Lingiari,0854,4
215,0854_5,Lingiari,0854,5
216,0854_6,Lingiari,0854,6
217,0854_7,Lingiari,0854,7
218,0854_8,Lingiari,0854,8
219,0854_9,Lingiari,0854,9
220,0860_0,Lingiari,0860,0
221,0860_1,Lingiari,0860,1
222,0860_10,Lingiari,0860,10
223,0860_11,Lingiari,0860,11
224,0860_12,Lingiari,0860,12
225,0860_13,Lingiari,0860,13
226,0860_14,Lingiari,0860,14
227,0860_15,Lingiari,0860,15
228,0860_16,Lingiari,0860,16
229,0860_17,Lingiari,0860,17
230,0860_18,Lingiari,0860,18
231,0860_19,Lingiari,0860,19
232,0860_2,Lingiari,0860,2
